State,25.7
Clark,29
100 Academy ES,30.4
100 Academy MS,32.9
A-TECH,1.5
"Abston, Sandra B ES",25.5
Acceleration Academy,74
Adams ES,21.5
Adcock ES,22.6
Adult Ed,104.9
Alamo ES,22.6
Allen ES,19
Antonello ES,20.3
Arbor View HS,13.2
Bailey (Sister) ES,28.9
Bailey MS,31.9
Bartlett ES,21.2
Basic HS,29
Bass ES,18.6
Batterman ES,19.9
Beatty ES,25.9
Becker MS,22.4
Beckley ES,27.9
Bell ES,47.2
Bendorf ES,31.1
Bennett ES,24.3
Berkley ES,17.4
Bilbray ES,18.6
Blackhurst ES,13
Blue Diamond ES,15.5
Bonanza HS,22.9
Bonner ES,18.6
Booker ES,27.4
Boulder City HS,10.6
Bowler (Grant) ES,12.1
Bowler (Joseph) ES,14.9
Bozarth ES,11.4
Bracken ES,2.3
Bridger MS,22.9
Brinley MS,28.3
Brookman ES,15.5
Brown JHS,30.5
"Brown, Hannah Marie ES",15.7
Bruner ES,35.1
Bryan (Richard) ES,17.2
Bryan (Roger) ES,22.5
Bunker ES,24.3
Burk Horizon SW HS,179.6
Burkholder MS,28.2
Cadwallader MS,13.9
Cahlan ES,30.3
Cambeiro ES,28.6
Canarelli MS,19.4
Cannon JHS,37.1
Canyon Springs HS,40.1
Carl ES,22.6
Carson ES,8.9
Cartwright ES,25.2
Cashman MS,30.4
CC Detention,131.4
Centennial HS,18.2
Chaparral HS,36.8
Cheyenne HS,32.1
Christensen ES,31.1
Cimarron-Memorial HS,21.6
Clark HS,23.5
Conners ES,24.6
Coronado HS,10.9
Cortez ES,40.5
Cortney JHS,38.5
Cowan Behavior Jr/Sr HS,139.5
Cowan Sunset SE HS,110.7
Cox (Clyde) ES,26.6
Cox (David) ES,20.6
Cozine ES,25.1
Craig ES,42.3
Cram MS,18.7
Crestwood ES,29.2
CSNHS East,1.9
CSNHS South,1.4
CSNHS West,0.9
CTTA,7.1
Culley ES,24.7
Cunningham ES,50.3
Dailey ES,42.2
Darnell ES,31.9
Dearing ES,42
Decker ES,26.4
Del Sol Academy,22.1
Delta Academy,76.2
Dennis Ortwein Elementary,20.5
Derfelt ES,33
Desert Oasis HS,17.4
Desert Pines HS,28.3
Desert Rose HS,72.3
Desert Willow ES,100
Desert Willow Secondary,128.6
Deskin ES,23.7
Detwiler ES,40.9
Diaz ES,28.8
Dickens ES,22.8
Diskin ES,24.4
Dondero ES,19.7
Dooley ES,21.4
Duncan ES,27.1
Durango HS,25.4
Earl (Ira) ES,27.5
Earl (Marion) ES,30.5
Early Childhood Program,57.1
East CTA,2.5
Edwards ES,23.7
Eisenberg ES,22.1
Eldorado HS,25.8
Elizondo ES,35.2
Ellis ES,11.7
Escobedo MS,25.6
Explore Knowledge ES,16.7
Explore Knowledge SEC,13.7
Faiss MS,18.8
Ferron ES,29.3
Fertitta MS,18.1
Findlay MS,23.6
Fine ES,21.6
Fitzgerald ES,29.2
Fong ES,36.6
Foothill HS,14
Forbuss ES,17.3
Fremont MS,4.8
French ES,30.7
Frias ES,16.1
Galloway ES,21.2
Garehime ES,29.6
Garrett JHS,10.7
Garside JHS,24.8
Gehring ES,4.4
Gibson (James) ES,18.2
Gibson (Robert) MS,15.4
Gilbert ES,6.4
Givens ES,13.2
Global Community High school,32.1
Goldfarb ES,25.2
Goodsprings ES,0
Goolsby ES,14.6
Goynes ES,14
Gragson ES,29.4
Gray ES,40.1
Green Valley HS,18.1
Greenspun JHS,17.7
Griffith ES,24.7
Guinn MS,16.8
"Gunderson, Barry and June MS",14.1
Guy ES,20.3
Hancock ES,34.3
Harmon ES,21.1
Harney MS,31.1
Harris ES,32.8
Hayden ES,29.8
Hayes ES,23
Heard Academy ES,5.2
Heckethorn ES,13.8
Herr ES,22.4
Herron ES,21.9
Hewetson ES,27.8
Hickey ES,27.4
Hill ES,25.3
Hinman ES,32.3
Hoggard ES,3.5
Hollingsworth ES,42.8
Hughes MS,14.1
Hummel ES,33.5
Hyde Park MS,15.1
Indian Springs ES,25.3
Indian Springs HS,11.1
Indian Springs MS,23.3
Innovations Charter SEC,20.2
Innovations International ES,20.3
Iverson ES,19.6
Jacobson ES,28.6
Jeffers ES,27.8
"Jenkins, Earl N ES",25.9
Johnson JHS,22.3
Johnston MS,38
Juvenile Detention 3-12,180.4
Jydstrup ES,40.2
Kahre ES,34.4
Katz ES,38.6
Keller ES,33.8
Keller (Duane) MS,28.7
Kelly ES,45.8
Kenneth Divich Elementary,10
Kesterson ES,21.5
Kim ES,20.7
King (Martha) ES,10.8
King (Martin Luther Jr) ES,26.7
Knudson MS,13.4
Lake ES,32.6
Lamping ES,11.5
Las Vegas Academy,3.1
Las Vegas HS,15.7
Laughlin Jr/Sr HS,23.3
Lawrence JHS,25.4
Leavitt MS,21.1
Legacy HS,26.3
Liberty HS,14.9
Lied MS,1.7
Lincoln ES,21.6
Long ES,34.9
Lowman ES,48.2
Lummis ES,18.8
Lundy ES,N/A
Lunt ES,36.8
Lynch ES,40.1
Lyon MS,10.5
Mack (Jerome) MS,40.6
Mack (Nate) ES,22.2
Mackey ES,2.2
"Mackey, Jo MS",7.4
Manch ES,48
Mannion MS,11.8
Martin MS,29.1
Martinez ES,35.6
Mathis ES,16.1
May ES,20.7
Mc Call ES,31.3
Mc Caw ES,6.5
Mc Doniel ES,28.7
Mc Millan ES,37.1
Mc Williams ES,26.5
Mendoza ES,17.3
Miley Achievement Center ES,66.7
Miley Achievement Center Sec,74.1
Miller (Bob) MS,10.4
Miller (John) School,26.8
Miller (Sandy) ES,9.1
Mission High School,59.3
Mitchell ES,11.3
Moapa Valley HS,8.2
Mojave HS,27.9
Molasky JHS,27.6
Monaco MS,31.9
Moore ES,28.3
Morris Sunset East HS,135.3
Morrow ES,16.7
Mountain View ES,31.5
Neal ES,21.6
NECTA HS,7.7
Nevada Learning Academy,58.1
Newton ES,26.7
NV Learning Academy ES,32.6
NW CTA,2.4
NW CTA ES,5.9
O'Callaghan MS,2
O'Roarke ES,11.7
Ober ES,27.6
Odyssey Charter ES,32.3
Odyssey Charter HS,19.5
Odyssey Charter MS,21.6
Orr MS,48.6
Palo Verde HS,16.5
Paradise PDS,44.4
Park ES,40.8
Parson ES,43.9
Perkins (Dr. Claude G.) ES,30.2
Perkins (Ute) ES,16.3
Petersen ES,52.7
Peterson Behavior Jr./Sr. HS,139
Piggott ES,4.1
Pittman ES,27.8
Priest ES,21.3
Quest Program,104.3
Rainbow Dreams Academy,14.8
Rancho HS,15.5
Red Rock ES,33.9
Reed ES,36.7
Reedom ES,21.5
Reid ES,16.7
Rhodes ES,19.8
Ries ES,18.1
Roberts ES,30.1
Robison MS,27.2
Rogers ES,28.4
Rogich MS,12.9
Ronnow ES,21.6
Ronzone ES,33.6
Roundy ES,31.7
Rowe ES,33.1
Rundle ES,35.1
Sandy Valley ES,20.7
Sandy Valley Jr/Sr HS,15.3
Saville MS,23.1
Sawyer MS,28.7
Scherkenbach ES,18.6
Schofield MS,23.4
Schorr ES,17.7
Scott ES,30.8
SE CTA,2.1
SECTA PK,39.4
Sedway MS,32.5
Sewell ES,32
Shadow Ridge HS,18
Shirley A Barber Elementary,27.5
Sierra Vista HS,19.2
Silverado HS,20.4
Silvestri JHS,29.8
Simmons ES,23.4
Smalley ES,10.8
Smith (Hal) ES,46.3
Smith (Helen) ES,23.6
Smith (J.D.) MS,29.4
Snyder ES,22.4
Snyder ES,36.5
South Continuation Jr./Sr. Hig,159.5
Spring Mountain Jr/Sr HS,105.8
Spring Valley HS,19.5
Squires ES,33.8
Stanford ES,29.2
Staton ES,14.4
Steele ES,17.6
Stevens Elementary School,33.3
Stewart School,18.5
Stuckey ES,17.1
Summit View J/SHS,114.6
Sunrise Acres ES,44.2
Sunrise Mountain HS,22.3
SW CTA,2.6
Swainston MS,31.8
Tanaka ES,24.1
Tarkanian MS,15.7
Tarr ES,6.3
Tartan ES,27.6
Tate ES,30.9
Taylor (Glen) ES,18.7
Taylor (Robert) ES,44.7
Thiriot ES,34.4
Thomas ES,70.1
Thompson ES,23.5
"Thompson, Tyrone ES",14.7
Thorpe ES,37.8
Tobler ES,28.8
Tomiyasu ES,26.1
Treem ES,29.4
Triggs ES,19.3
Twin Lakes ES,22.6
Twitchell ES,13.6
Ullom ES,29.4
Valley HS,28.7
Vanderburg ES,13.8
Variety ES,70.2
Variety SEC,28.2
Vassiliadis ES,9
Vegas Verdes ES,24.2
Virgin Valley ES,12.1
Virgin Valley HS,11.9
Von Tobel MS,36.8
VT CTA,5
Walker International ES,13.6
Wallin ES,15
Ward (Gene) ES,31.8
Ward (Kitty) ES,14.4
Warren ES,20
Wasden ES,38
Watson ES,24.7
Webb MS,14.2
Wengert ES,24.9
West CTA,1
West Prep ES,10.7
West Prep Sec,27.3
Western HS,30.8
White MS,4.6
Whitney ES,50.2
Wiener ES,37.2
Wilhelm ES,31.1
Williams (Tom) ES,21.3
Williams (Wendell) ES,42.8
Wolfe (Eva) ES,22.4
Wolff (Elise) ES,13.9
Woodbury MS,31.8
Woolley ES,25.2
Wright ES,29.4
Wynn ES,31.1